,Ticker,Latest_price,sector,industry,marketCap,trailing_PE_ratio,pegRatio,enterpriseValue,ebitda,ebitdaMargins,profitMargins,revenueGrowth,freeCashflow,operatingCashflow,returnOnAssets,returnOnEquity,enterpriseToRevenue,enterpriseToEbitda,priceToBook,beta,forwardEps,currentRatio,quickRatio,debtToEquity,sharesOutstanding,earningsGrowth,fiveYearAvgDividendYield
0,TSM,119.31,Technology,Semiconductors,618741628928.0,28.888618,1.1,164626366464.0,1072375988224.0,0.67555,0.37579,0.212,-40901271552.0,1112160993280.0,0.12526,0.29694998,0.104,0.154,0.28535894,1.00806,6.37,2.173,1.875,33.609,5185999872.0,0.165,2.76
1,PFE,48.53,Healthcare,Drug Manufacturers—General,272392585216.0,13.861753,0.01,316521611264.0,27306000384.0,0.39382,0.28684,1.344,42431250432.0,32291000320.0,0.07777,0.27747,4.565,11.592,3.5974796,0.623376,49.43,1.385,1.088,52.496,5612870144.0,4.468,3.67
2,MRK,76.37,Healthcare,Drug Manufacturers—General,192906035200.0,26.947777,0.87,210990940160.0,21056999424.0,0.40027002,0.13681,0.204,9870499840.0,13084000256.0,0.12133,0.26036,4.011,10.02,5.388035,0.494545,7.2,1.309,0.869,73.728,2525939968.0,0.548,2.97
3,INTC,45.04,Technology,Semiconductors,183177691136.0,8.732067,3.18,204177358848.0,33873999872.0,0.42865002,0.25142,0.028,1480125056.0,29991000064.0,0.08586001,0.22522,2.584,6.028,2.0333169,0.535554,3.7,2.102,1.38,40.508,4067000064.0,-0.209,2.48
4,VALE,16.64,Basic Materials,Other Industrial Metals & Mining,80720633856.0,5.022638,0.29,102827794432.0,190439997440.0,0.62987,0.31648,0.144,134364127232.0,161108000768.0,0.21952999,0.50914,0.34,0.54,0.44900158,0.752212,2.54,1.244,0.893,54.589,4844760064.0,0.306,
5,HCA,244.1,Healthcare,Medical Care Facilities,75920719872.0,12.4968,0.93,116390903808.0,12469000192.0,0.21505,0.11328,0.148,-2138125056.0,2932999936.0,0.12033,4.74392,2.007,9.334,,1.651428,18.7,1.377,0.995,1866.301,311023008.0,2.59,
6,REGN,615.13,Healthcare,Biotechnology,66152927232.0,9.837987,0.67,61402947584.0,7465800192.0,0.55898,0.52376,0.505,3450700032.0,5939800064.0,0.22614,0.51093,4.597,8.225,3.761757,0.176103,47.81,3.708,3.026,15.637,105720000.0,0.939,
7,MRNA,145.74,Healthcare,Biotechnology,59090284544.0,8.73113,0.54,86171066368.0,7772106752.0,0.65691,0.5968,30.65,8944045056.0,11573970944.0,0.372,1.09609,7.283,11.087,5.8300667,1.335722,26.47,1.348,1.216,5.758,405449984.0,,
8,AMX,18.19,Communication Services,Telecom Services,58853748736.0,12.458904,0.38,712640692224.0,292954570752.0,0.29031,0.096870005,-0.026,121705988096.0,282376372224.0,0.06302,0.37094003,0.706,2.433,0.2322523,0.295575,1.41,0.687,0.595,212.944,3235500032.0,-0.172,2.22
9,BIDU,157.72,Communication Services,Internet Content & Information,55689990144.0,25.987808,67.7,-18079760384.0,31207000064.0,0.25649,0.11248,0.131,24931375104.0,21435000832.0,0.02627,0.05392,-0.149,-0.579,0.25910065,0.943311,8.94,2.914,2.618,43.099,348059008.0,,
10,NUE,122.93,Basic Materials,Steel,35133272064.0,7.4156966,0.14,37790318592.0,7682258944.0,0.24482,0.15857,1.093,901464640.0,4111649024.0,0.19094999,0.42227,1.204,4.919,2.617481,1.436883,16.72,2.527,1.271,41.688,285799008.0,10.486,2.68
11,CBRE,99.69,Real Estate,Real Estate Services,33362851840.0,23.237762,1.9,38450311168.0,2461769984.0,0.0943,0.055859998,0.204,1887118464.0,2140541952.0,0.0571,0.19532,1.473,15.619,4.1060176,1.404675,5.64,1.355,1.039,54.8,334665984.0,1.331,
12,WY,39.18,Real Estate,REIT—Specialty,29347584000.0,11.833282,2.45,32047398912.0,3999000064.0,0.39758998,0.24687,0.111,2436250112.0,3108999936.0,0.12795,0.26281,3.186,8.014,2.8303113,1.750633,1.87,2.323,1.9,50.853,749044992.0,0.689,3.82
13,MT,30.33,Basic Materials,Steel,27643215872.0,2.9087944,0.01,38086868992.0,17022999552.0,0.24336,0.17323999,0.525,4375499776.0,7167000064.0,0.10779,0.29221,0.544,2.237,0.62506443,2.032097,8.46,1.416,0.425,16.725,911414976.0,,
14,UMC,9.51,Technology,Semiconductors,23543433216.0,14.300752,0.51,-25127049216.0,98760998912.0,0.46363997,0.26186,0.305,8813809664.0,90352001024.0,0.07776,0.21855,-0.118,-0.254,0.09166265,1.008956,1.02,2.212,1.591,29.728,2475650048.0,2.203,3.65
15,BBY,97.71,Consumer Cyclical,Specialty Retail,23505213440.0,9.446968,1.11,25812572160.0,4212999936.0,0.0805,0.05052,0.005,717249984.0,2080999936.0,0.101619996,0.63223,0.493,6.127,5.568473,1.587532,9.23,1.132,0.375,93.151,240560992.0,0.351,2.35
16,LU,6.65,Financial Services,Credit Services,16374294528.0,6.3333335,0.28,-11886460928.0,29586313216.0,0.46693,0.26489002,0.218,-91804205056.0,3238949120.0,0.06756,0.21595,-0.188,-0.402,0.17040797,,1.21,24.402,22.49,42.53,2462299904.0,0.647,
17,QRVO,133.2,Technology,Semiconductors,14681703424.0,13.794532,0.93,18278242304.0,1675895040.0,0.3697,0.24367,0.184,1018642496.0,1393001984.0,0.10436,0.24184,4.032,10.907,3.1121495,1.378701,13.15,2.816,2.05,36.933,110223000.0,1.407,
18,AES,21.26,Utilities,Utilities—Diversified,14174339072.0,27.396906,1.79,36409364480.0,3758000128.0,0.34379002,0.049489997,0.193,-770499968.0,2047000064.0,0.04867,0.15587,3.331,9.688,5.811919,0.861263,1.65,1.222,0.64,343.595,666713984.0,,3.38
19,BG,99.3,Consumer Defensive,Farm Products,13953636352.0,6.2539363,0.57,20357373952.0,2731000064.0,0.04958,0.04354,0.39,457000000.0,-3049999872.0,0.06413,0.36060002,0.37,7.454,2.049324,0.635844,7.97,1.694,0.495,91.225,140520000.0,1.321,3.09
20,BLDR,71.72,Industrials,Building Products & Equipment,13734451200.0,9.345843,0.48,18084827136.0,2435069696.0,0.13688,0.07998,1.4,109999184.0,1008137984.0,0.16900998,0.43570998,1.017,7.427,2.5487757,2.290927,6.52,2.081,1.243,52.113,191500992.0,3.082,
21,STLD,63.95,Basic Materials,Steel,12690941952.0,5.810995,0.11,14599159808.0,3496568064.0,0.22272,0.14723,1.183,-234196368.0,1618188032.0,0.19538,0.47814,0.93,4.175,2.278152,1.508051,12.49,2.915,1.455,54.673,198451008.0,9.319,2.25
22,WHR,204.54,Consumer Cyclical,"Furnishings, Fixtures & Appliances",12424393728.0,6.524194,1.01,15959966720.0,3152999936.0,0.14353,0.09059,0.037,1496000000.0,2387000064.0,0.08039,0.4284,0.727,5.062,2.5134866,1.751647,25.16,1.173,0.731,118.62,60743100.0,0.213,2.94
23,JLL,242.66,Real Estate,Real Estate Services,12246662144.0,16.045757,1.71,17528412160.0,1351600000.0,0.13265,0.07756,0.341,211575008.0,961900032.0,0.044320002,0.14123,1.72,12.969,2.096125,1.295584,18.23,1.087,0.615,69.03,50468400.0,0.813,
24,DVA,115.49,Healthcare,Medical Care Facilities,11768430592.0,13.487096,0.9,24189396992.0,2433944064.0,0.21018,0.08331,0.005,797304384.0,1885785984.0,0.06367,0.41874,2.089,9.938,10.3624935,1.237709,8.38,1.625,1.508,437.564,101900000.0,0.844,
25,SBSW,16.52,Basic Materials,Gold,11622497280.0,4.2709413,1.79,4641058816.0,72350302208.0,0.44571,0.27576,0.635,21833363456.0,37203701760.0,0.29925,0.71443003,0.029,0.064,0.14808707,1.365427,1.51,2.733,1.473,20.968,703540992.0,1.497,
26,WFG,96.53,Basic Materials,Lumber & Wood Production,10289228800.0,3.2910573,0.12,8339470848.0,4525834240.0,0.45133,0.29127002,0.86,2798936576.0,3594216704.0,0.36093,0.61209,0.832,1.843,1.3913032,2.105263,12.5,2.855,2.081,7.079,104587000.0,0.1,0.99
27,OC,98.07,Industrials,Building Products & Equipment,9854759936.0,10.394276,0.37,11647521792.0,1922000000.0,0.23179,0.12060001,0.162,1036625024.0,1586000000.0,0.09275,0.24493,1.405,6.06,2.3667254,1.551168,9.5,1.864,1.222,73.641,100487000.0,0.33,1.35
28,AGCO,128.01,Industrials,Farm & Heavy Construction Machinery,9579525120.0,12.934221,0.53,10539529216.0,1218000000.0,0.11383,0.07012,0.091,290124992.0,713900032.0,0.06927,0.24927999,0.985,8.653,3.0230963,1.330461,10.48,1.355,0.449,55.944,74834200.0,0.148,0.82
29,CLF,19.09,Basic Materials,Steel,9546737664.0,4.686963,0.14,17254113280.0,4233999872.0,0.24398,0.12441,2.648,-331550016.0,1440999936.0,0.16226,0.8146,0.994,4.075,2.3889375,2.175874,5.81,2.179,0.729,124.709,500091008.0,,
30,NRG,38.43,Utilities,Utilities—Independent Power Producers,9409163264.0,3.8522456,0.12,18973024256.0,5106999808.0,0.23245001,0.11111,1.353,615875008.0,2305999872.0,0.13147001,0.81204003,0.864,3.715,2.3067226,0.84,3.7,1.213,0.268,215.718,244839008.0,5.471,1.38
31,AU,22.0,Basic Materials,Gold,9181589504.0,10.357815,0.62,9296975872.0,1815000064.0,0.4098,0.20185,-0.068,740875008.0,1516999936.0,0.109239995,0.27438,2.099,5.122,2.406739,-0.003982,2.1,2.363,1.545,54.505,417344992.0,-0.367,
32,DKS,103.85,Consumer Cyclical,Specialty Retail,8994023424.0,7.986618,0.39,11352900608.0,2235229952.0,0.18524,0.11547,0.139,1206890368.0,1641900032.0,0.15383,0.59898996,0.941,5.079,3.3778949,1.762077,11.04,1.516,0.548,120.727,62910300.0,0.511,2.19
33,UGI,38.04,Utilities,Utilities—Regulated Gas,7959185408.0,5.49711,2.05,15142113280.0,2369999872.0,0.28945,0.13031,0.384,-154250000.0,736000000.0,0.07387,0.21785,1.849,6.389,1.4990543,1.010939,3.39,1.329,0.782,132.823,209232000.0,,2.64
34,BAK,19.55,Basic Materials,Chemicals,7781544448.0,3.0923758,0.13,44299096064.0,27126507520.0,0.28212,0.14873,0.77,7525192704.0,14392802304.0,0.1665,6.08657,0.461,1.633,0.60964197,1.025663,4.25,1.332,0.823,469.148,398032992.0,,
35,TX,37.15,Basic Materials,Steel,7292842496.0,2.0137684,2.35,10591304704.0,5119158784.0,0.35696998,0.25254,1.147,811857984.0,1897090944.0,0.20218,0.43019,0.739,2.069,0.75149184,1.556883,11.01,2.501,1.327,15.735,196308000.0,,
36,AN,109.83,Consumer Cyclical,Auto & Truck Dealerships,7198049792.0,7.7777777,0.27,11627960320.0,1864700032.0,0.07445,0.04541,0.18,2080375040.0,1602499968.0,0.118039995,0.39815,0.464,6.236,3.0545666,1.434805,17.79,0.978,0.301,177.832,65538100.0,1.498,
37,EHC,65.91,Healthcare,Medical Care Facilities,6557550592.0,16.225998,0.82,10556601344.0,1072300032.0,0.21372,0.08104,0.094,194212496.0,871699968.0,0.07681,0.24323,2.104,9.845,3.5588553,1.003636,4.42,1.146,0.923,150.73,99492496.0,0.283,1.69
38,X,24.09,Basic Materials,Steel,6509912576.0,2.0189407,0.21,7836920320.0,3927000064.0,0.22811002,0.18320999,1.549,1531750016.0,2892000000.0,0.13668,0.54794997,0.455,1.996,0.82232463,2.109477,9.53,1.687,1.087,56.706,270232992.0,,0.89
39,SID,4.74,Basic Materials,Steel,6471948288.0,2.4648986,3.05,21396170752.0,20523018240.0,0.43348,0.31861,0.176,13766689792.0,17446408192.0,0.16847,1.1085501,0.452,1.043,0.32392535,1.435398,0.76,1.514,1.011,129.966,1356029952.0,0.064,
40,LPX,69.13,Industrials,Building Products & Equipment,6082693120.0,4.940327,1.14,6543366656.0,1984999936.0,0.44899,0.32549,0.533,1212125056.0,1604000000.0,0.53367,1.13676,1.48,3.296,4.559124,1.71948,7.82,2.803,2.002,27.233,87989200.0,1.465,
41,TDC,48.91,Technology,Information Technology Services,5306735104.0,46.36019,1.17,4357360128.0,379000000.0,0.19607,0.06156,0.013,358624992.0,424000000.0,0.0691,0.283,2.254,11.497,11.601044,1.143436,1.81,1.114,0.958,134.136,108500000.0,,
42,ESGR,277.23,Financial Services,Insurance—Diversified,5097095680.0,4.9196997,,-470184576.0,1173099008.0,0.736,0.76723,,795179904.0,4533858816.0,0.02873,0.19272,-0.295,-0.401,0.82449794,0.586772,20.5,12.247,9.703,26.058,16788100.0,,
43,ATKR,105.16,Industrials,Electrical Equipment & Parts,4874334208.0,8.626744,0.44,5407004160.0,879875008.0,0.3005,0.20076999,0.935,480212864.0,572902016.0,0.26579002,0.94575995,1.847,6.145,5.5936174,2.436883,8.57,2.708,2.098,92.561,46351600.0,2.864,
44,ABG,186.33,Consumer Cyclical,Auto & Truck Dealerships,4310875136.0,7.532746,0.37,4961332224.0,726899968.0,0.07719,0.05108,0.304,868262528.0,985900032.0,0.12088,0.45523,0.527,6.825,2.7693474,1.535064,28.72,1.745,0.815,143.433,23135700.0,0.52,
45,VNT,24.48,Technology,Scientific & Technical Instruments,4138588672.0,9.5438595,1.27,7354924032.0,681699968.0,0.22607,0.14505,0.029,485124992.0,552600000.0,0.11143,0.42425,2.439,10.789,8.793103,,3.01,1.515,1.081,555.542,169060000.0,-0.104,
46,MATX,97.19,Industrials,Marine Shipping,4085090304.0,6.873895,0.32,4552071168.0,922300032.0,0.27462,0.18416001,0.661,332524992.0,742300032.0,0.16398,0.55307,1.355,4.936,3.037662,0.904525,10.45,0.88,0.739,67.311,42032000.0,3.006,2.16
47,QDEL,97.84,Healthcare,Diagnostics & Research,4078548224.0,4.738014,1.25,4822056960.0,1201748992.0,0.64234,0.47199002,0.071,510512384.0,923622976.0,0.42844,0.71118,2.577,4.013,2.4950907,-0.236883,7.3,3.868,3.127,8.741,41685900.0,-0.047,
48,CPG,6.45,Energy,Oil & Gas E&P,3755480064.0,2.0860283,0.01,6128638464.0,3697999872.0,1.52413,0.90314,0.935,-925950016.0,1248499968.0,0.22614,0.53148,2.526,1.657,0.7037643,3.379874,1.01,0.412,0.318,44.139,582244992.0,137.592,2.89
49,MGY,20.52,Energy,Oil & Gas E&P,3730577152.0,12.028136,0.19,4188114688.0,1202642048.0,1.34946,0.33078998,1.342,829906368.0,607057024.0,0.18250999,0.47689998,4.699,3.482,5.262888,2.484512,2.39,1.976,1.967,43.457,181802000.0,12.482,
50,PCH,53.53,Real Estate,REIT—Specialty,3696819456.0,7.4679127,1.85,4123169280.0,692012992.0,0.48512,0.33978,-0.082,443286368.0,597660032.0,0.15356,0.3394,2.89,5.958,2.163615,1.235324,2.72,5.203,4.531,48.381,69060704.0,-0.192,3.58
51,ATHM,27.31,Communication Services,Internet Content & Information,3413203712.0,7.0623217,-41.87,-14003898368.0,2760907264.0,0.34397,0.39141,-0.238,,,0.06703,0.15031,-1.745,-5.072,0.15304692,0.305454,3.6,7.82,7.661,0.202,124980000.0,-0.426,
52,GPI,180.98,Consumer Cyclical,Auto & Truck Dealerships,3275864576.0,5.9043455,0.5,5034157056.0,908700032.0,0.06879,0.042779997,0.154,1090950016.0,1210200064.0,0.1067,0.34505,0.381,5.54,1.6488853,1.72,34.53,1.502,0.606,99.562,18100700.0,0.366,1.23
53,KLIC,52.44,Technology,Semiconductor Equipment & Materials,3273362432.0,9.072664,0.48,3334980608.0,433956992.0,0.28594,0.24192,1.731,184191632.0,300032000.0,0.19489999,0.39624,2.197,7.685,2.9652247,1.256103,5.35,3.842,3.299,3.925,62421100.0,7.243,
54,BCC,82.56,Basic Materials,Lumber & Wood Production,3247150848.0,5.7421055,1.92,2534878208.0,917206016.0,0.12043,0.07476,0.183,295037504.0,527836000.0,0.2251,0.54653,0.333,2.764,2.4871216,1.836796,7.37,2.767,1.825,41.714,39330800.0,-0.115,
55,QFIN,20.05,Financial Services,Credit Services,3098927872.0,3.586762,,-712645760.0,11397472256.0,0.73291,0.36422002,0.246,3875159040.0,5985248256.0,0.25716,0.50686,-0.046,-0.063,0.21880284,0.549183,5.68,1.897,0.557,2.45,154560000.0,0.221,
56,ASO,34.27,Consumer Cyclical,Specialty Retail,3034094592.0,5.252107,0.5,5145217536.0,954307008.0,0.14543,0.09465,0.181,393248736.0,669441984.0,0.11011,0.52626,0.784,5.392,2.1958096,,6.2,1.36,0.315,135.298,88535000.0,1.324,
57,LGIH,124.27,Consumer Cyclical,Residential Construction,3016430592.0,6.8737206,0.61,4195535616.0,577788992.0,0.18363,0.14453,0.407,50760500.0,190264000.0,0.18408,0.38729,1.333,7.261,2.2581818,1.507532,16.24,27.031,1.293,50.228,24273200.0,0.151,
